"node_id";"taxonomy_name";"taxonomy_rank"
"TI_PLANT_409";"cecropia_cecropia sp";"genus"
"TI_PLANT_410";"cedrela_cedrela odorata";"species"
"TI_PLANT_411";"cestrum_cestrum racemosum";"species"
"TI_PLANT_412";"cestrum_cestrum sp";"genus"
"TI_PLANT_413";"chamaedorea_chamaedorea sp";"genus"
"TI_PLANT_414";"chamaedorea_chamaedorea tepejilote";"species"
"TI_PLANT_415";"chusquea_chusquea simpliciflora";"species"
"TI_PLANT_416";"cissampelos_cissampelos grandifolia";"species"
"TI_PLANT_417";"cissampelos_cissampelos sp";"genus"
"TI_PLANT_418";"cissus_cissus sp";"genus"
"TI_PLANT_419";"clethra_clethra mexicana";"species"
"TI_PLANT_420";"clibadium_clibadium pittieri";"species"
"TI_PLANT_421";"clibadium_clibadium surinamense";"species"
"TI_PLANT_422";"clusia_clusia sp";"genus"
"TI_PLANT_423";"colubrina_colubrina spinosa";"genus"
"TI_PLANT_424";"cordia_cordia alliodora";"species"
"TI_PLANT_425";"cordia_cordia sp";"genus"
"TI_PLANT_426";"costus_costus laevis";"species"
"TI_PLANT_427";"costus_costus malortieanus";"species"
"TI_PLANT_428";"costus_costus scaber";"species"
"TI_PLANT_429";"costus_costus sp";"genus"
"TI_PLANT_430";"coussapoa_coussapoa nymphaeifolia";"species"
"TI_PLANT_431";"crinum_crinum erubescens";"species"
"TI_PLANT_432";"croton_croton panamensis";"species"
"TI_PLANT_433";"croton_croton schiedeanus";"species"
"TI_PLANT_434";"croton_croton sp";"genus"
"TI_PLANT_435";"cuatresia_cuatresia cuneata";"species"
"TI_PLANT_436";"cyathula_cyathula prostrata";"species"
"TI_PLANT_437";"cyclanthus_cyclanthus bipartitus";"species"
"TI_PLANT_438";"cyphomandra_cyphomandra hartwegii";"species"
"TI_PLANT_439";"dalechampia_dalechampia cissifolia";"species"
"TI_PLANT_440";"dalechampia_dalechampia sp";"genus"
"TI_PLANT_441";"davilla_davilla nitida";"species"
"TI_PLANT_442";"dichapetalum_dichapetalum axillare";"species"
"TI_PLANT_443";"dichapetalum_dichapetalum stipulatum";"species"
"TI_PLANT_444";"dicranostyles_dicranostyles ampla";"species"
"TI_PLANT_445";"diplazium_diplazium sp";"genus"
"TI_PLANT_446";"dipteryx_dipteryx panamensis";"species"
"TI_PLANT_447";"drymonia_drymonia sp";"genus"
"TI_PLANT_448";"epiphyllum_epiphyllum sp";"genus"
"TI_PLANT_449";"erythrina_erythrina bilya";"species"
"TI_PLANT_450";"erythrina_erythrina sp";"genus"
"TI_PLANT_451";"erythroxylum_erythroxylum macrophyllum";"species"
"TI_PLANT_452";"eschweilera_eschweilera longirachis";"species"
"TI_PLANT_453";"ficus_ficus benjamin";"species"
"TI_PLANT_454";"ficus_ficus colubrinae";"species"
"TI_PLANT_455";"ficus_ficus insipida";"species"
"TI_PLANT_456";"ficus_ficus sp";"genus"
"TI_PLANT_457";"fischeria_fischeria panamensis";"species"
"TI_PLANT_458";"garcinia_garcinia intermedia";"species"
"TI_PLANT_459";"garcinia_garcinia sp";"genus"
"TI_PLANT_460";"genipa_genipa americana";"species"
"TI_PLANT_461";"genipa_genipa sp";"genus"
"TI_PLANT_462";"geonoma_geonoma longivaginata";"species"
"TI_PLANT_463";"geonoma_geonoma sp";"genus"
"TI_PLANT_464";"gnetum_gnetum leyboldii";"species"
"TI_PLANT_465";"gouania_gouania lupuloides";"species"
"TI_PLANT_466";"gouania_gouania sp";"genus"
"TI_PLANT_467";"grammitis_grammitis sp";"genus"
"TI_PLANT_468";"guarea_guarea guidonia";"species"
"TI_PLANT_469";"guarea_guarea sp";"genus"
"TI_PLANT_470";"guatteria_guatteria diospyroides";"genus"
"TI_PLANT_471";"hamelia_hamelia patens";"species"
"TI_PLANT_472";"hampea_hampea appendiculata";"species"
"TI_PLANT_473";"hampea_hampea sp";"genus"
"TI_PLANT_474";"heliconia_heliconia imbricata";"species"
"TI_PLANT_475";"heliconia_heliconia sp";"genus"
"TI_PLANT_476";"heliocarpus_heliocarpus appendiculatus";"species"
"TI_PLANT_477";"heliocarpus_heliocarpus sp";"genus"
"TI_PLANT_478";"hernandia_hernandia sp";"genus"
"TI_PLANT_479";"hernandia_hernandia stenura";"species"
"TI_PLANT_480";"herrania_herrania purpurea";"species"
"TI_PLANT_481";"hiraea_hiraea fagifolia";"species"
"TI_PLANT_482";"hiraea_hiraea reclinata";"species"
"TI_PLANT_483";"hiraea_hiraea sp";"genus"
"TI_PLANT_484";"hyeronima_hyeronima alchorneoides";"species"
"TI_PLANT_485";"hyeronima_hyeronima sp";"genus"
"TI_PLANT_486";"inga_inga alba";"species"
"TI_PLANT_487";"inga_inga edulis";"species"
"TI_PLANT_488";"inga_inga oerestediana";"species"
"TI_PLANT_489";"inga_inga sp";"genus"
"TI_PLANT_490";"ipomoea_ipomoea sp";"genus"
"TI_PLANT_491";"jacaratia_jacaratia sp";"genus"
"TI_PLANT_492";"lacistema_lacistema aggregatum";"species"
"TI_PLANT_493";"laetia_laetia procera";"species"
"TI_PLANT_494";"laportea_laportea aestuans";"species"
"TI_PLANT_495";"lonchocarpus_lonchocarpus sp";"genus"
"TI_PLANT_496";"luehea_luehea seemannii";"species"
"TI_PLANT_497";"luehea_luehea sp";"genus"
"TI_PLANT_498";"lycianthes_lycianthes synanthera";"species"
"TI_PLANT_499";"mabea_mabea occidentalis";"species"
"TI_PLANT_500";"manihot_manihot cassava";"species"
"TI_PLANT_501";"manihot_manihot esculenta";"species"
"TI_PLANT_502";"manihot_manihot sp";"genus"
"TI_PLANT_503";"maquira_maquira costaricana";"species"
"TI_PLANT_504";"merinthopodium_merinthopodium neuranthum";"species"
"TI_PLANT_505";"miconia_miconia multispicata";"genus"
"TI_PLANT_506";"miconia_miconia sp";"genus"
"TI_PLANT_507";"mikania_mikania sp";"genus"
"TI_PLANT_508";"mikania_mikania vitifolia";"species"
"TI_PLANT_509";"musa_musa sp";"genus"
